2018-09-06 18:03:04	The Jimi Hendrix Experience	The Jimi Hendrix Experience	The Wind Cries Mary
2018-09-06 18:06:25	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Fire
2018-09-06 18:09:08	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Third Stone From The Sun
2018-09-06 18:19:11	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Are You Experienced?
2018-09-06 18:29:25	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Stone Free
2018-09-06 18:33:01	The Jimi Hendrix Experience	The Jimi Hendrix Experience	51st Anniversary
2018-09-06 18:36:17	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Highway Chile
2018-09-06 18:39:49	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Can You See Me
2018-09-06 18:42:22	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Remember
2018-09-06 18:45:11	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Red House
2018-09-07 09:00:38	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Purple Haze
2018-09-07 09:03:29	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Manic Depression
2018-09-07 09:07:11	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Hey Joe
2018-09-07 09:10:42	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Love Or Confusion
2018-09-07 09:13:54	The Jimi Hendrix Experience	The Jimi Hendrix Experience	May This Be Love
2018-09-07 09:17:04	The Jimi Hendrix Experience	The Jimi Hendrix Experience	I Don't Live Today
2018-09-07 09:20:59	The Jimi Hendrix Experience	The Jimi Hendrix Experience	The Wind Cries Mary
2018-09-07 09:24:19	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Fire
2018-09-07 09:27:03	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Third Stone From The Sun
2018-09-07 09:29:46	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Third Stone From The Sun
2018-09-07 09:33:47	Jimi Hendrix	Jimi Hendrix	Foxy Lady
2018-09-07 09:37:06	The Jimi Hendrix Experience	The Jimi Hendrix Experience	Are You Experienced?
